Name,posX,posY,posZ,minAABBx,minAABBy,minAABBz,maxAABBx,maxAABBy,maxAABBz,scaleX,scaleY,scaleZ,rotateAngle
Tree_Hi,-238.428,-10,151.287,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,-255.069,-10,99.9926,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-239.595,-10,61.6063,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-258.625,-10,16.4803,-3,-0,-3,3,3,3,3,3,3,180
Tree_Hi,-224.811,-10,-2.5637,-3,-0,-3,3,3,3,3,3,3,270
Tree_Hi,-245.905,-10,-47.6055,-3,-0,-3,3,3,3,3,3,3,0
Tree_Hi,-221.397,-10,-81.9175,-3,-0,-3,3,3,3,3,3,3,90
Tree_Hi,-225.528,-10,-162.861,-3,-0,-3,3,3,3,3,3,3,180
TombStone_Hi,-83.3497,-10,-161.422,-5,-0,-5,5,5,5,5,5,5,0
TombStone_Hi,-30.0819,-10,-132.531,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,29.0657,-10,-101.1,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-13.5013,-10,-90.186,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-54.1242,-10,-76.8338,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-98.3575,-10,-98.1746,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-138.902,-10,-134.694,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-153.963,-10,-171.366,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-125.338,-10,-59.8363,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-170.655,-10,-46.9891,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-187.94,-10,-80.7225,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-126.816,-10,-38.4068,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-84.4358,-10,-47.146,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-65.6409,-10,-24.5339,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-30.0023,-10,-35.2,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,-1.27831,-10,-60.6772,-5,-0,-5,5,5,5,5,5,5,180
TombStone_Hi,20.7867,-10,2.13209,-5,-0,-5,5,5,5,5,5,5,180
